,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),"30,989","28,540","30,520","30,703","31,622","28,008","27,618","28,967","30,588","28,892","28,875","30,613","31,322","29,759","25,370","28,334","28,356","30,432"
HAZLETON PUBLIC TRANSIT (HPT),"30,022","29,441","28,740","28,290","28,282","29,306","30,260","32,020","34,583","32,951","30,949","31,747","31,439","30,681","28,462","29,767","30,624","31,074"
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),"20,563","22,300","30,134","32,754","35,519","35,739","36,246","34,284","31,450","31,830","34,201","36,457","34,035","30,478","27,568","26,690","25,936","26,563"
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),"266,730","248,053","245,289","243,393","253,819","313,860","316,779","299,594","319,253","308,433","304,324","308,158","296,963","280,202","268,097","259,017","284,724","308,596"
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),"69,224","75,828","77,516","78,965","80,346","77,413","79,434","78,377","79,381","81,557","85,610","86,877","94,199","95,232","96,316","95,957","95,974","97,443"
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),"36,985","36,394","37,167","31,699","28,540","28,817","31,585","31,263","33,713","30,505","33,454","34,688","35,161","26,329","22,423","23,222","26,956","30,383"
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),"45,666","49,947","47,783","51,684","49,533","49,313","48,833","46,634","41,652","43,525","43,457","42,950","42,995","42,334","42,358","45,242","47,353","48,421"
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),"11,272","10,867","10,753","9,704","10,532","10,693","9,690","7,805","7,864","8,040","9,785","8,679","7,107","6,593","4,714","5,889","6,794","6,529"
Monroe Township,"4,317",,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),"5,064","5,044","5,090","4,850","4,850","4,436","4,790","4,989","5,058","5,188","5,544","5,725","5,900","4,584","4,900","4,775","4,719","5,035"
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),"48,033","50,726","54,117","56,972","57,913","58,334","57,152","56,510","55,002","52,722","54,143","53,996","53,832","50,550","48,962","53,860","57,323","56,296"
PITTSBURGH REGIONAL TRANSIT (PRT),"2,468,671","2,165,838","2,196,909","2,209,897","2,105,712","1,988,410","1,877,501","1,910,968","1,948,840","1,954,108","1,982,527","2,012,014","1,977,552","1,823,848","1,761,650",,"1,634,131","1,684,347"
POTTSTOWN AREA RAPID TRANSIT (PART),"20,376","20,291","20,429","20,989","20,687","20,571","20,933","21,410","21,613","21,908","21,912","22,004","21,951","21,907","21,952","23,314","24,520","24,417"
RRTA (Red Rose Transit Authority),"117,102","118,010","126,313","124,182","117,655","125,611","129,662","120,364","126,608",,,,,,,,,
SEPTA (Southeastern Pennsylvania Transportation Authority),"6,179,804",,,,,,,,,,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),"29,363","29,398","27,326","25,202","23,120","21,321","19,143","18,354","17,610","19,925","21,659","20,261","19,696","20,676","18,834","18,701","18,494","18,076"
SVSS (Shenango Valley Shuttle Service),"11,794","13,996","13,183","12,607","11,957",,,,,,,,,,,,,
VCTO (Venango County Transportation Office),"7,765","7,812","7,816","7,786","7,500","7,846","7,803","9,025","9,236","9,242",,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),"42,468","42,961","46,111","46,380","48,474","50,996","50,859","55,628","57,080","56,372","55,113","53,098","53,211","49,062","42,597","48,574","51,287","52,371"
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"10,402","11,178","11,427","12,081","12,530","10,877","10,087","10,508","10,712","10,522","10,602","10,610","11,139","11,047","10,597","10,729","10,888","10,962"
"Washington, City of","11,197","11,455","12,760","13,543","12,929","13,613","18,201","18,392","16,446",,,,,,,,,
Williamsport River Valley Transit (RVT),"54,474","54,618","55,606","55,986","54,075","55,467","54,678","55,540","57,353","57,237","57,246","57,842","58,792","54,913","54,847",,,
YCTA (York County Transportation Authority*),"130,467","120,940","116,931","124,839","119,744",,,,,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"9,887","9,704","13,486","14,154","12,367","12,745","13,357","14,133","12,651","14,178","15,731","17,196","16,990"
YATA (Central Pennsylvania Transportation Authority),,,,,,"115,318","112,154","129,646","127,623",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"5,249","23,279","26,098","26,603","25,895","21,128","19,794","22,867","23,041","23,026"
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,"123,418","123,449","125,082","125,113","123,545","125,420",,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,"257,936","254,968","261,626","264,165","256,030","258,325","269,564","269,602","270,630"
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,"54,873","55,124","55,822"
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,"272,791","277,844","279,859"
